iter	Logloss
0	0.6930565427
1	0.6929035492
2	0.6927740417
3	0.692691743
4	0.6926265301
5	0.6925558492
6	0.6924451808
7	0.692360155
8	0.6922878045
9	0.692221562
10	0.6921339483
11	0.6920458476
12	0.6920059714
13	0.6919319234
14	0.6918416661
15	0.6917965583
16	0.6917054941
17	0.6916193691
18	0.6915595547
19	0.6914678504
20	0.6913526322
21	0.6912847201
22	0.6911726881
23	0.6910901529
24	0.6910238826
25	0.6909654735
26	0.6908816025
27	0.6907968828
28	0.6907172973
29	0.6906396735
30	0.6905776051
31	0.6905180551
32	0.6904344067
33	0.6903911912
34	0.6903188546
35	0.6902285695
36	0.6901424028
37	0.6900407642
38	0.6899658954
39	0.6898990407
40	0.6898191629
41	0.6897279874
42	0.6896629693
43	0.6895472363
44	0.6894926255
45	0.6894389331
46	0.6893301708
47	0.6892461885
48	0.6892030426
49	0.6891256693
50	0.6890357598
51	0.6889718688
52	0.6888784948
53	0.6888386047
54	0.6887584904
55	0.6886844146
56	0.6885749148
57	0.6885089645
58	0.6884170098
59	0.6883460367
60	0.6882776377
61	0.6881930154
62	0.688138029
63	0.6880511945
64	0.6879336109
65	0.6878706382
66	0.687822859
67	0.6877729928
68	0.6876833616
69	0.6876244933
70	0.6875670164
71	0.6874536626
72	0.6873750232
73	0.6872608485
74	0.6872039698
75	0.6871373378
76	0.6870518807
77	0.686991955
78	0.686924822
79	0.6868477409
80	0.6867780618
81	0.6867167865
82	0.6866729309
83	0.6865932201
84	0.686519033
85	0.6864541123
86	0.6863810522
87	0.6863103713
88	0.6862982248
89	0.6862451167
90	0.686185024
91	0.6861474713
92	0.6860924571
93	0.686015863
94	0.6859696421
95	0.685892394
96	0.685818346
97	0.6857592412
98	0.6856817844
99	0.6856367601
100	0.6855454176
101	0.6855097989
102	0.6854687817
103	0.6854119587
104	0.6853777453
105	0.6853052
106	0.6852478065
107	0.6851823989
108	0.6851255063
109	0.6850598065
110	0.6849616741
111	0.6849128514
112	0.6848447724
113	0.6847873094
114	0.6846925163
115	0.6846424831
116	0.6845670855
117	0.6845165236
118	0.6844692175
119	0.684372727
120	0.6843322524
121	0.684255853
122	0.6841750292
123	0.6841262343
124	0.6840836866
125	0.6840295629
126	0.6839865282
127	0.6839489477
128	0.6838801034
129	0.6838253953
130	0.6837517508
131	0.6836771184
132	0.6836246365
133	0.6835763008
134	0.6835146498
135	0.6834414088
136	0.6833761959
137	0.6832932015
138	0.6832286009
139	0.6831740319
140	0.6830967003
141	0.6830554466
142	0.683005636
143	0.682918078
144	0.6828596688
145	0.6827669628
146	0.6827084423
147	0.6826438556
148	0.6825954503
149	0.6825181744
150	0.682405238
151	0.682371762
152	0.6823056726
153	0.6822135369
154	0.6821426613
155	0.682098917
156	0.6819976819
157	0.6819517255
158	0.6818405422
159	0.6817760111
160	0.6817389036
161	0.6816835972
162	0.6816132641
163	0.68152444
164	0.681483061
165	0.6814034476
166	0.681330624
167	0.6812663434
168	0.681203788
169	0.6811548401
170	0.6810776198
171	0.6809986743
172	0.680934171
173	0.6808325324
174	0.6807236727
175	0.6806810277
176	0.6806113068
177	0.6805550265
178	0.6804883388
179	0.6804114524
180	0.6803309625
181	0.6802782301
182	0.6802359607
183	0.6801607439
184	0.6800878786
185	0.6799948804
186	0.6799165053
187	0.6798508054
188	0.6798036245
189	0.6797100419
190	0.6796567112
191	0.6795978291
192	0.6795333258
193	0.6794587769
194	0.6794094672
195	0.6793345427
196	0.6792383444
197	0.6791628494
198	0.6790652179
199	0.6790125551
