iter	Passed	Remaining
0	157	31427
1	354	35094
2	733	48139
3	811	39739
4	939	36629
5	1086	35137
6	1251	34511
7	1439	34559
8	1582	33593
9	1746	33184
10	1865	32051
11	2327	36467
12	2649	38113
13	2832	37629
14	2942	36284
15	3248	37357
16	3459	37239
17	3676	37170
18	3873	36899
19	4031	36280
20	4156	35431
21	4283	34655
22	4348	33466
23	4446	32609
24	4531	31723
25	4696	31432
26	4794	30723
27	5033	30918
28	5116	30171
29	5171	29305
30	5258	28668
31	5338	28024
32	5401	27334
33	5468	26699
34	5532	26081
35	5601	25519
36	5634	24823
37	5666	24157
38	5713	23585
39	5795	23182
40	5861	22731
41	5902	22204
42	5932	21660
43	5983	21213
44	6046	20827
45	6103	20434
46	6173	20096
47	6216	19686
48	6268	19317
49	6310	18930
50	6400	18700
51	6446	18346
52	6487	17995
53	6584	17803
54	6698	17660
55	6770	17409
56	6830	17136
57	6902	16898
58	6970	16657
59	7004	16342
60	7040	16043
61	7074	15746
62	7106	15454
63	7137	15166
64	7174	14900
65	7215	14650
66	7249	14391
67	7279	14130
68	7314	13886
69	7369	13685
70	7398	13441
71	7428	13205
72	7449	12960
73	7476	12730
74	7502	12504
75	7555	12326
76	7581	12110
77	7608	11900
78	7637	11697
79	7667	11501
80	7706	11321
81	7740	11138
82	7803	10999
83	8069	11143
84	8236	11143
85	8472	11231
86	8629	11207
87	8692	11062
88	8790	10963
89	9031	11038
90	9106	10907
91	9166	10761
92	9226	10615
93	9590	10815
94	9759	10786
95	9840	10660
96	9903	10515
97	9976	10383
98	10033	10236
99	10105	10105
100	10166	9965
101	10213	9813
102	10266	9668
103	10329	9534
104	10364	9377
105	10403	9226
106	10562	9180
107	10804	9203
108	10861	9068
109	10908	8925
110	10984	8807
111	11051	8683
112	11137	8574
113	11174	8429
114	11219	8292
115	11257	8152
116	11296	8013
117	11332	7875
118	11366	7736
119	11403	7602
120	11431	7463
121	11466	7331
122	11532	7219
123	11564	7088
124	11597	6958
125	11633	6832
126	11670	6708
127	11787	6630
128	12020	6615
129	12094	6512
130	12171	6411
131	12223	6296
132	12281	6186
133	12389	6102
134	12455	5996
135	12514	5888
136	12578	5784
137	12653	5685
138	12726	5585
139	12785	5479
140	12851	5377
141	12883	5262
142	12916	5148
143	12945	5034
144	12982	4924
145	13014	4813
146	13044	4703
147	13078	4595
148	13118	4490
149	13156	4385
150	13188	4279
151	13220	4174
152	13282	4080
153	13317	3977
154	13349	3875
155	13382	3774
156	13415	3674
157	13456	3577
158	13488	3478
159	13523	3380
160	13553	3283
161	13583	3186
162	13617	3091
163	13686	3004
164	13719	2910
165	13751	2816
166	13788	2724
167	13821	2632
168	13851	2540
169	13883	2450
170	13918	2360
171	13949	2270
172	13982	2182
173	14013	2094
174	14078	2011
175	14115	1924
176	14145	1838
177	14184	1753
178	14222	1668
179	14255	1583
180	14286	1499
181	14325	1416
182	14354	1333
183	14388	1251
184	14419	1169
185	14468	1089
186	14511	1008
187	14553	928
188	14596	849
189	14627	769
190	14652	690
191	14687	611
192	14732	534
193	14793	457
194	14848	380
195	14902	304
196	14994	228
197	15098	152
198	15180	76
199	15312	0
