iter	Passed	Remaining
0	9	4547
1	19	4879
2	30	5057
3	38	4771
4	48	4837
5	59	4867
6	67	4755
7	78	4804
8	86	4703
9	97	4778
10	106	4755
11	116	4721
12	127	4775
13	135	4687
14	146	4734
15	156	4739
16	165	4688
17	174	4679
18	182	4624
19	193	4639
20	201	4588
21	210	4576
22	218	4537
23	229	4544
24	240	4575
25	248	4526
26	259	4537
27	268	4520
28	279	4533
29	289	4533
30	296	4491
31	308	4510
32	316	4476
33	326	4470
34	333	4432
35	342	4418
36	352	4407
37	360	4381
38	370	4385
39	379	4359
40	390	4374
41	402	4386
42	413	4398
43	429	4454
44	439	4444
45	450	4447
46	459	4432
47	472	4446
48	480	4426
49	490	4414
50	501	4412
51	509	4388
52	519	4382
53	529	4370
54	538	4356
55	547	4339
56	555	4314
57	565	4312
58	574	4292
59	584	4283
60	592	4263
61	603	4262
62	613	4254
63	622	4243
64	632	4232
65	641	4217
66	651	4210
67	662	4206
68	669	4183
69	679	4175
70	687	4152
71	698	4152
72	707	4137
73	719	4141
74	730	4137
75	739	4125
76	750	4122
77	759	4110
78	767	4091
79	777	4082
80	785	4061
81	795	4056
82	803	4035
83	813	4028
84	823	4022
85	838	4035
86	849	4030
87	861	4032
88	868	4012
89	879	4008
90	889	3998
91	897	3979
92	908	3974
93	915	3954
94	927	3953
95	935	3937
96	945	3927
97	953	3912
98	961	3895
99	974	3898
100	982	3880
101	991	3869
102	1002	3862
103	1012	3853
104	1023	3851
105	1033	3842
106	1043	3832
107	1055	3830
108	1065	3821
109	1075	3812
110	1086	3806
111	1095	3794
112	1106	3789
113	1115	3778
114	1124	3764
115	1134	3755
116	1143	3741
117	1154	3737
118	1165	3733
119	1175	3722
120	1185	3711
121	1192	3694
122	1203	3690
123	1211	3675
124	1222	3667
125	1236	3669
126	1247	3665
127	1255	3648
128	1264	3637
129	1274	3627
130	1286	3624
131	1298	3620
132	1306	3604
133	1315	3593
134	1325	3582
135	1334	3570
136	1341	3555
137	1352	3547
138	1362	3539
139	1371	3526
140	1382	3520
141	1394	3515
142	1402	3501
143	1413	3494
144	1421	3479
145	1432	3472
146	1444	3469
147	1454	3458
148	1464	3449
149	1475	3442
150	1484	3430
151	1496	3425
152	1507	3419
153	1516	3408
154	1528	3402
155	1536	3389
156	1548	3382
157	1559	3376
158	1567	3362
159	1578	3354
160	1586	3341
161	1595	3327
162	1603	3315
163	1613	3306
164	1632	3313
165	1650	3321
166	1667	3324
167	1681	3322
168	1698	3326
169	1712	3324
170	1726	3321
171	1743	3324
172	1758	3323
173	1775	3326
174	1793	3331
175	1810	3332
176	1825	3331
177	1841	3331
178	1857	3330
179	1870	3326
180	1884	3321
181	1897	3314
182	1911	3310
183	1926	3309
184	1939	3302
185	1947	3287
186	1957	3276
187	1968	3266
188	1975	3251
189	1985	3239
190	1994	3226
191	2004	3215
192	2023	3219
193	2033	3207
194	2041	3193
195	2056	3189
196	2068	3181
197	2075	3166
198	2085	3154
199	2096	3144
200	2104	3131
201	2114	3120
202	2122	3105
203	2132	3094
204	2140	3079
205	2152	3071
206	2160	3058
207	2184	3066
208	2195	3057
209	2204	3044
210	2216	3035
211	2229	3028
212	2243	3022
213	2255	3014
214	2269	3008
215	2284	3003
216	2296	2994
217	2310	2988
218	2321	2978
219	2334	2970
220	2349	2965
221	2360	2956
222	2369	2942
223	2381	2933
224	2392	2924
225	2400	2910
226	2411	2899
227	2419	2886
228	2429	2874
229	2441	2866
230	2449	2852
231	2461	2843
232	2475	2836
233	2489	2829
234	2499	2819
235	2512	2810
236	2531	2809
237	2549	2806
238	2565	2801
239	2580	2795
240	2595	2789
241	2610	2783
242	2623	2774
243	2631	2761
244	2642	2750
245	2654	2740
246	2664	2728
247	2678	2721
248	2689	2710
249	2696	2696
250	2707	2686
251	2719	2676
252	2728	2663
253	2738	2652
254	2748	2640
255	2758	2629
256	2768	2617
257	2777	2605
258	2787	2593
259	2798	2583
260	2806	2570
261	2818	2560
262	2827	2548
263	2837	2536
264	2849	2526
265	2857	2513
266	2871	2506
267	2884	2497
268	2894	2485
269	2903	2473
270	2912	2460
271	2921	2449
272	2934	2439
273	2943	2427
274	2954	2417
275	2965	2406
276	2974	2394
277	2997	2393
278	3013	2387
279	3023	2375
280	3037	2367
281	3051	2359
282	3065	2350
283	3073	2337
284	3100	2338
285	3114	2330
286	3128	2321
287	3138	2310
288	3153	2302
289	3169	2295
290	3183	2286
291	3200	2279
292	3215	2271
293	3231	2264
294	3248	2257
295	3265	2250
296	3281	2242
297	3296	2234
298	3309	2224
299	3317	2211
300	3331	2202
301	3344	2192
302	3358	2183
303	3371	2173
304	3381	2161
305	3393	2151
306	3406	2141
307	3416	2129
308	3429	2120
309	3443	2110
310	3455	2099
311	3465	2088
312	3479	2078
313	3492	2068
314	3505	2058
315	3515	2047
316	3529	2037
317	3544	2028
318	3558	2018
319	3574	2010
320	3591	2002
321	3604	1992
322	3623	1985
323	3644	1979
324	3662	1972
325	3691	1970
326	3707	1961
327	3722	1951
328	3736	1942
329	3752	1933
330	3761	1920
331	3773	1909
332	3784	1898
333	3795	1886
334	3807	1875
335	3819	1864
336	3831	1853
337	3840	1840
338	3852	1829
339	3861	1817
340	3872	1805
341	3884	1794
342	3896	1783
343	3912	1774
344	3931	1766
345	3947	1757
346	3974	1752
347	4005	1749
348	4030	1743
349	4051	1736
350	4086	1734
351	4116	1730
352	4135	1722
353	4162	1716
354	4183	1708
355	4201	1699
356	4219	1690
357	4236	1680
358	4252	1670
359	4272	1661
360	4289	1651
361	4299	1639
362	4311	1627
363	4324	1615
364	4337	1604
365	4348	1591
366	4361	1580
367	4375	1569
368	4389	1558
369	4398	1545
370	4409	1533
371	4422	1521
372	4432	1509
373	4443	1497
374	4457	1485
375	4469	1473
376	4477	1460
377	4491	1449
378	4504	1438
379	4518	1426
380	4528	1414
381	4539	1402
382	4555	1391
383	4571	1380
384	4587	1370
385	4600	1358
386	4611	1346
387	4636	1338
388	4644	1325
389	4657	1313
390	4671	1302
391	4683	1290
392	4693	1277
393	4706	1266
394	4721	1255
395	4734	1243
396	4746	1231
397	4757	1219
398	4771	1207
399	4784	1196
400	4792	1183
401	4804	1171
402	4819	1159
403	4830	1147
404	4840	1135
405	4853	1123
406	4865	1111
407	4874	1099
408	4888	1087
409	4899	1075
410	4912	1063
411	4921	1051
412	4932	1039
413	4946	1027
414	4961	1016
415	4983	1006
416	4998	994
417	5012	983
418	5022	970
419	5034	958
420	5048	947
421	5061	935
422	5077	924
423	5093	912
424	5108	901
425	5120	889
426	5130	877
427	5144	865
428	5157	853
429	5172	841
430	5183	829
431	5197	818
432	5210	806
433	5221	794
434	5234	782
435	5245	769
436	5257	757
437	5270	746
438	5284	734
439	5294	721
440	5307	710
441	5321	698
442	5333	686
443	5342	673
444	5380	664
445	5390	652
446	5402	640
447	5415	628
448	5430	616
449	5440	604
450	5452	592
451	5464	580
452	5475	568
453	5486	555
454	5501	544
455	5515	532
456	5531	520
457	5544	508
458	5556	496
459	5569	484
460	5582	472
461	5596	460
462	5613	448
463	5627	436
464	5642	424
465	5653	412
466	5667	400
467	5682	388
468	5695	376
469	5710	364
470	5720	352
471	5731	339
472	5744	327
473	5759	315
474	5775	303
475	5787	291
