date,atelier,usine,mtbf_heures,mttr_heures,disponibilite_pct,trs_oee_pct,performance_pct,qualite_pct,nb_alertes,nb_pannes,nb_pannes_evitees,cout_maintenance_jour_eur,economies_predictif_eur,vrms_moyen_mm_s,asset_health_index
2025-01-01,Pomperie,Casablanca,326.9,6.3,98.11,89.0,94.2,96.3,0,0,2,2869.19,12015.63,2.54,87.8
2025-01-01,Air comprimé,Tanger,439.2,4.7,98.94,90.8,95.1,96.5,0,1,0,2774.84,0.0,2.86,80.8
2025-01-01,Ventilation,Casablanca,482.9,6.6,98.65,81.22,87.4,94.2,0,0,0,537.65,0.0,1.93,80.9
2025-01-01,Broyage,Casablanca,345.5,3.5,99.0,84.25,88.1,96.6,0,0,1,4313.52,5598.63,4.0,74.3
2025-01-01,Convoyage,Tanger,403.5,5.1,98.75,90.84,93.3,98.6,0,0,0,663.98,0.0,2.01,84.7
2025-01-02,Pomperie,Casablanca,351.0,7.9,97.8,87.69,93.5,95.9,3,0,0,2101.62,0.0,2.56,85.5
2025-01-02,Air comprimé,Tanger,401.6,5.6,98.62,88.29,92.1,97.2,0,0,0,4038.31,0.0,3.52,87.8
2025-01-02,Ventilation,Casablanca,433.9,6.8,98.46,88.83,93.3,96.7,0,0,0,1652.87,0.0,2.21,69.7
2025-01-02,Broyage,Casablanca,323.6,5.3,98.39,82.86,87.0,96.8,0,0,0,3344.06,0.0,4.23,76.9
2025-01-02,Convoyage,Tanger,464.3,7.7,98.37,91.64,94.0,99.1,0,0,0,785.52,0.0,0.89,69.5
2025-01-03,Pomperie,Casablanca,362.1,4.0,98.91,83.43,87.5,96.4,0,0,0,2546.6,0.0,2.44,78.6
2025-01-03,Air comprimé,Tanger,440.8,6.0,98.66,89.7,95.2,95.5,0,0,0,2885.63,0.0,2.12,83.2
2025-01-03,Ventilation,Casablanca,512.0,5.7,98.9,88.88,94.0,95.6,2,0,0,1073.2,0.0,1.4,84.7
2025-01-03,Broyage,Casablanca,369.9,4.1,98.9,92.67,96.4,97.2,0,0,0,4736.89,0.0,4.49,89.8
2025-01-03,Convoyage,Tanger,430.3,7.3,98.33,91.28,96.7,96.0,0,0,1,768.29,1606.0,1.88,78.8
2025-01-04,Pomperie,Casablanca,398.9,5.5,98.64,88.19,91.6,97.6,0,1,0,2827.97,0.0,2.71,80.0
2025-01-04,Air comprimé,Tanger,453.3,3.8,99.17,90.57,93.0,98.2,0,0,0,2210.12,0.0,3.4,80.7
2025-01-04,Ventilation,Casablanca,455.0,8.7,98.12,86.95,90.8,97.6,1,0,1,755.34,3310.98,1.48,87.6
2025-01-04,Broyage,Casablanca,345.0,7.3,97.93,84.52,88.7,97.3,0,0,1,4373.79,4341.07,4.62,86.5
2025-01-04,Convoyage,Tanger,441.3,9.8,97.83,88.17,93.2,96.7,0,0,1,1031.34,3707.84,1.12,93.3
2025-01-05,Pomperie,Casablanca,356.6,5.3,98.54,86.26,90.9,96.3,0,0,0,2240.65,0.0,3.0,85.7
2025-01-05,Air comprimé,Tanger,404.7,6.7,98.37,87.72,92.6,96.3,0,1,2,3848.94,3682.77,2.63,80.4
2025-01-05,Ventilation,Casablanca,521.9,7.3,98.62,83.03,87.7,96.0,0,1,0,1093.52,0.0,2.05,86.9
