timestamp,machine_id,machine_nom,capteur_id,capteur_type,grandeur,unite,valeur_mesuree,seuil_alerte_bas,seuil_alerte_haut,statut,batterie_pct,qualite_signal_pct,frequence_acquisition_hz,passerelle_iot,latence_ms
2026-04-14 00:17:26,P-204,Pompe centrifuge HP,P-204-SEN-01,accelerometre,accelerometre,mm/s,1.5563,0.25,3.36,normal,100.0,97.1,128,GW-OPCUA-02,1.5
2026-04-14 00:17:07,P-204,Pompe centrifuge HP,P-204-SEN-02,accelerometre,accelerometre,g,0.3645,0.05,0.72,normal,100.0,98.8,2000,GW-MQTT-01,0.7
2026-04-14 00:17:08,P-204,Pompe centrifuge HP,P-204-SEN-03,thermique,thermique,°C,26.4245,4.05,54.0,normal,100.0,101.2,5000,GW-OPCUA-02,1.6
2026-04-14 00:17:44,P-204,Pompe centrifuge HP,P-204-SEN-04,sonde_proximite,sonde_proximite,microns,39.7175,5.4,72.0,normal,100.0,98.7,512,GW-Modbus-03,1.3
2026-04-14 00:17:20,P-204,Pompe centrifuge HP,P-204-SEN-05,ultrason,ultrason,dB,26.643,3.78,50.4,normal,100.0,97.5,512,GW-OPCUA-02,0.9
2026-04-14 00:17:33,P-204,Pompe centrifuge HP,P-204-SEN-06,courant,courant,A,54.2488,10.8,144.0,normal,100.0,99.2,5000,GW-Modbus-03,0.7
2026-04-14 00:17:16,P-204,Pompe centrifuge HP,P-204-SEN-07,debit,debit,m3/h,49.5356,7.65,102.0,normal,100.0,96.6,256,GW-OPCUA-02,1.6
2026-04-14 00:17:15,P-204,Pompe centrifuge HP,P-204-SEN-08,pression,pression,bar,4.4856,0.58,7.8,normal,100.0,95.8,1000,GW-OPCUA-02,1.0
2026-04-14 00:17:53,C-118,Compresseur à vis,C-118-SEN-01,accelerometre,accelerometre,mm/s,1.7822,0.31,4.14,normal,100.0,98.8,2000,GW-OPCUA-02,1.6
2026-04-14 00:17:57,C-118,Compresseur à vis,C-118-SEN-02,accelerometre,accelerometre,g,0.4805,0.07,0.89,normal,100.0,98.8,2000,GW-OPCUA-02,0.7
2026-04-14 00:17:20,C-118,Compresseur à vis,C-118-SEN-03,thermique,thermique,°C,32.9008,4.99,66.6,normal,100.0,98.2,128,GW-OPCUA-02,1.4
2026-04-14 00:17:39,C-118,Compresseur à vis,C-118-SEN-04,sonde_proximite,sonde_proximite,microns,43.134,6.66,88.8,normal,100.0,96.4,1000,GW-OPCUA-02,0.7
2026-04-14 00:17:12,C-118,Compresseur à vis,C-118-SEN-05,ultrason,ultrason,dB,25.9754,4.66,62.16,normal,100.0,101.7,2000,GW-Modbus-03,1.2
2026-04-14 00:17:01,C-118,Compresseur à vis,C-118-SEN-06,courant,courant,A,90.6715,13.32,177.6,normal,100.0,96.8,256,GW-Modbus-03,1.7
2026-04-14 00:17:13,C-118,Compresseur à vis,C-118-SEN-07,debit,debit,m3/h,65.217,9.43,125.8,normal,100.0,92.9,256,GW-OPCUA-02,1.3
2026-04-14 00:17:42,C-118,Compresseur à vis,C-118-SEN-08,pression,pression,bar,4.5802,0.72,9.62,normal,100.0,97.1,1000,GW-Modbus-03,0.8
2026-04-14 00:17:53,V-302,Ventilateur tirage,V-302-SEN-01,accelerometre,accelerometre,mm/s,2.3763,0.37,4.93,normal,100.0,100.4,256,GW-Modbus-03,1.1
2026-04-14 00:17:20,V-302,Ventilateur tirage,V-302-SEN-02,accelerometre,accelerometre,g,0.5248,0.08,1.06,normal,100.0,98.6,256,GW-OPCUA-02,0.7
2026-04-14 00:17:23,V-302,Ventilateur tirage,V-302-SEN-03,thermique,thermique,°C,37.1812,5.94,79.2,normal,100.0,98.0,1000,GW-Modbus-03,1.2
2026-04-14 00:17:26,V-302,Ventilateur tirage,V-302-SEN-04,sonde_proximite,sonde_proximite,microns,52.71,7.92,105.6,normal,100.0,98.9,1000,GW-Modbus-03,0.8
2026-04-14 00:17:51,V-302,Ventilateur tirage,V-302-SEN-05,ultrason,ultrason,dB,35.7959,5.54,73.92,normal,100.0,96.6,256,GW-MQTT-01,1.4
2026-04-14 00:17:50,V-302,Ventilateur tirage,V-302-SEN-06,courant,courant,A,106.8812,15.84,211.2,normal,100.0,94.9,1000,GW-Modbus-03,0.6
2026-04-14 00:17:53,V-302,Ventilateur tirage,V-302-SEN-07,debit,debit,m3/h,72.4453,11.22,149.6,normal,100.0,94.5,1000,GW-Modbus-03,0.4
2026-04-14 00:17:36,V-302,Ventilateur tirage,V-302-SEN-08,pression,pression,bar,5.9178,0.86,11.44,normal,100.0,97.0,128,GW-OPCUA-02,1.6
2026-04-14 00:17:44,M-019,Moteur électrique 400kW,M-019-SEN-01,accelerometre,accelerometre,mm/s,2.7988,0.43,5.71,normal,100.0,100.8,512,GW-MQTT-01,1.6
2026-04-14 00:17:08,M-019,Moteur électrique 400kW,M-019-SEN-02,accelerometre,accelerometre,g,0.6159,0.09,1.22,normal,100.0,94.1,1000,GW-Modbus-03,0.8
2026-04-14 00:17:37,M-019,Moteur électrique 400kW,M-019-SEN-03,thermique,thermique,°C,47.0538,6.88,91.8,normal,100.0,93.3,256,GW-Modbus-03,1.2
2026-04-14 00:17:05,M-019,Moteur électrique 400kW,M-019-SEN-04,sonde_proximite,sonde_proximite,microns,55.2354,9.18,122.4,normal,100.0,99.9,512,GW-Modbus-03,1.1
2026-04-14 00:17:55,M-019,Moteur électrique 400kW,M-019-SEN-05,ultrason,ultrason,dB,44.6136,6.43,85.68,normal,100.0,94.6,2000,GW-Modbus-03,1.2
2026-04-14 00:17:49,M-019,Moteur électrique 400kW,M-019-SEN-06,courant,courant,A,114.3333,18.36,244.8,normal,100.0,96.7,128,GW-MQTT-01,1.3
2026-04-14 00:17:34,M-019,Moteur électrique 400kW,M-019-SEN-07,debit,debit,m3/h,92.2505,13.01,173.4,normal,100.0,97.7,2000,GW-OPCUA-02,0.8
2026-04-14 00:17:49,M-019,Moteur électrique 400kW,M-019-SEN-08,pression,pression,bar,7.4006,0.99,13.26,normal,100.0,96.5,1000,GW-OPCUA-02,2.0
2026-04-14 00:17:08,R-077,Réducteur convoyeur,R-077-SEN-01,accelerometre,accelerometre,mm/s,3.0046,0.49,6.5,normal,100.0,97.2,256,GW-Modbus-03,0.8
2026-04-14 00:17:55,R-077,Réducteur convoyeur,R-077-SEN-02,accelerometre,accelerometre,g,0.635,0.1,1.39,normal,100.0,96.1,2000,GW-Modbus-03,1.2
2026-04-14 00:17:56,R-077,Réducteur convoyeur,R-077-SEN-03,thermique,thermique,°C,51.0572,7.83,104.4,normal,100.0,97.6,256,GW-OPCUA-02,2.1
2026-04-14 00:17:33,R-077,Réducteur convoyeur,R-077-SEN-04,sonde_proximite,sonde_proximite,microns,86.4465,10.44,139.2,normal,100.0,98.9,256,GW-OPCUA-02,1.7
2026-04-14 00:17:11,R-077,Réducteur convoyeur,R-077-SEN-05,ultrason,ultrason,dB,52.575,7.31,97.44,normal,100.0,95.0,128,GW-MQTT-01,1.5
2026-04-14 00:17:47,R-077,Réducteur convoyeur,R-077-SEN-06,courant,courant,A,130.0669,20.88,278.4,normal,100.0,94.9,256,GW-OPCUA-02,1.1
2026-04-14 00:17:02,R-077,Réducteur convoyeur,R-077-SEN-07,debit,debit,m3/h,96.3173,14.79,197.2,normal,100.0,98.4,256,GW-Modbus-03,1.1
