date,atelier,mtbf_heures,mttr_heures,disponibilite_pct,oee_pct,trs_pct,nb_pannes,nb_alertes,cout_maintenance_euros,economies_predictif_euros,performance_pct,qualite_pct
2026-01-01,A,356,5.8,88.2,68.8,64.9,5,8,556,4837,88.0,95.1
2026-01-02,B,409,4.8,85.3,70.4,80.2,4,6,1102,3679,91.2,99.0
2026-01-03,A,544,6.1,94.1,74.2,66.4,2,1,579,3112,81.8,99.2
2026-01-04,E,417,6.1,94.5,79.5,89.2,3,1,2461,2401,95.8,98.1
2026-01-05,C,497,3.4,85.9,82.9,83.6,0,3,613,3113,85.3,98.2
2026-01-06,C,391,4.2,87.7,72.2,88.2,5,1,900,4375,93.9,95.8
2026-01-07,D,419,7.0,93.3,80.0,81.2,0,3,331,2584,87.6,95.3
2026-01-08,E,533,3.9,93.5,75.7,87.6,3,2,1284,1143,84.7,97.8
2026-01-09,C,541,5.1,96.7,75.8,68.1,1,8,2221,744,94.4,99.3
2026-01-10,B,510,3.2,93.8,81.1,72.8,4,7,2367,2059,98.5,99.3
2026-01-11,A,524,5.7,93.9,79.5,69.5,5,5,656,2404,88.3,97.3
2026-01-12,C,478,5.9,91.6,67.9,79.5,5,8,1014,1252,87.1,95.8
2026-01-13,E,350,5.2,91.4,68.0,72.2,2,3,437,1973,96.7,99.7
2026-01-14,A,537,4.7,85.9,85.5,83.4,1,7,2451,1352,85.0,99.4
2026-01-15,D,404,6.7,94.8,83.6,82.0,3,5,1994,4239,88.6,96.2
2026-01-16,A,436,2.6,92.2,80.9,62.2,5,0,1137,552,97.2,99.3
2026-01-17,A,481,3.6,93.7,70.8,65.7,4,7,1195,3874,95.3,96.0
2026-01-18,A,518,4.4,90.5,77.6,82.4,5,1,448,3298,93.8,99.0
2026-01-19,A,413,3.4,92.0,68.8,67.1,3,3,508,3630,95.4,99.3
2026-01-20,A,362,5.4,92.0,65.4,64.6,1,2,1864,3978,89.1,99.3
2026-01-21,A,392,4.2,97.8,72.2,84.0,3,4,1932,4552,92.6,97.4
