machine_id,machine_nom,machine_type,date_installation,age_jours,heures_operation_estimees,mtbf_theorique_h,mtbf_actuel_h,derniere_panne_jours,nb_pannes_12m,v_rms_mm_s,a_rms_g,temperature_c,zone_iso,crest_factor,kurtosis,disponibilite_pct,oee_pct,asset_health_index,rul_estime_jours,rul_confiance_pct,cout_remplacement_eur,cout_horaire_arret,score_degradation,niveau_risque
P-204,Pompe HP,pompe,2018-03-15,1484.0,35616,8000,8000,1692.0,0,1.592,0.753,28.9,A,2.24,2.75,98.2,91.9,99.0,370.5,94.4,250000,2000.0,0.0,faible
P-204,Pompe HP,pompe,2018-03-15,1517.7,36425,8000,7986,114.8,0,1.884,0.8,35.4,A,2.45,3.78,99.3,90.7,94.4,350.9,89.9,250000,2000.0,2.3,faible
P-204,Pompe HP,pompe,2018-03-15,1551.5,37235,8000,7961,1113.4,0,1.429,0.657,33.9,A,2.62,2.64,98.3,92.0,97.1,354.1,91.1,250000,2000.0,4.5,faible
P-204,Pompe HP,pompe,2018-03-15,1585.2,38044,8000,7929,295.4,0,1.692,0.708,33.5,A,2.74,2.55,96.3,90.4,90.3,338.5,90.7,250000,2000.0,6.8,faible
P-204,Pompe HP,pompe,2018-03-15,1618.9,38854,8000,7890,689.4,0,2.414,0.99,32.1,B,2.8,3.56,97.5,90.5,92.9,324.6,95.7,250000,2000.0,9.1,faible
P-204,Pompe HP,pompe,2018-03-15,1652.6,39663,8000,7847,175.7,0,1.733,0.879,34.4,A,2.71,3.13,96.6,90.0,85.2,336.4,89.7,250000,2000.0,11.4,faible
P-204,Pompe HP,pompe,2018-03-15,1686.4,40473,8000,7799,918.1,0,2.455,1.133,31.1,B,2.74,2.83,96.5,88.5,85.7,323.9,87.6,250000,2000.0,13.6,faible
P-204,Pompe HP,pompe,2018-03-15,1720.1,41282,8000,7746,48.3,0,2.715,1.21,34.3,B,3.08,3.22,94.3,89.3,86.9,307.2,91.0,250000,2000.0,15.9,faible
P-204,Pompe HP,pompe,2018-03-15,1753.8,42092,8000,7690,331.7,0,2.254,1.072,35.3,A,3.22,2.87,95.8,87.3,100,315.6,90.6,250000,2000.0,18.2,faible
P-204,Pompe HP,pompe,2018-03-15,1787.5,42901,8000,7630,58.3,0,2.56,1.085,32.0,B,3.13,4.19,95.0,89.9,89.1,271.5,80.0,250000,2000.0,20.5,faible
P-204,Pompe HP,pompe,2018-03-15,1821.3,43711,8000,7567,15.2,1,2.519,1.251,38.0,B,2.93,2.96,96.3,88.0,78.2,276.3,84.3,250000,2000.0,22.7,faible
P-204,Pompe HP,pompe,2018-03-15,1855.0,44520,8000,7500,1014.9,0,2.928,1.389,40.1,B,3.19,3.66,96.9,86.8,86.2,267.8,87.4,250000,2000.0,25.0,faible
P-204,Pompe HP,pompe,2018-03-15,1888.7,45329,8000,7430,341.1,1,2.948,1.402,37.4,B,3.28,3.7,94.5,86.7,83.4,298.2,75.9,250000,2000.0,27.3,faible
P-204,Pompe HP,pompe,2018-03-15,1922.5,46139,8000,7358,2659.4,1,2.811,1.255,39.4,B,2.75,4.23,94.6,87.7,87.1,258.2,81.2,250000,2000.0,29.5,faible
P-204,Pompe HP,pompe,2018-03-15,1956.2,46948,8000,7282,1680.5,1,3.107,1.37,40.5,B,3.03,3.89,94.1,85.1,73.7,250.4,83.2,250000,2000.0,31.8,moyen
P-204,Pompe HP,pompe,2018-03-15,1989.9,47758,8000,7204,164.5,0,3.163,1.496,41.2,B,3.3,4.36,94.5,86.3,79.7,244.0,73.6,250000,2000.0,34.1,moyen
P-204,Pompe HP,pompe,2018-03-15,2023.6,48567,8000,7123,666.1,1,3.698,1.702,42.2,B,3.41,4.31,96.5,85.2,80.0,224.5,90.6,250000,2000.0,36.4,moyen
P-204,Pompe HP,pompe,2018-03-15,2057.4,49377,8000,7039,1537.3,0,3.748,1.647,43.7,B,3.5,4.44,95.9,82.6,82.2,192.3,88.4,250000,2000.0,38.6,moyen
P-204,Pompe HP,pompe,2018-03-15,2091.1,50186,8000,6953,422.3,2,3.08,1.365,43.7,B,3.43,4.14,95.6,85.3,77.1,219.2,87.3,250000,2000.0,40.9,moyen
P-204,Pompe HP,pompe,2018-03-15,2124.8,50996,8000,6865,468.3,0,3.502,1.677,44.9,B,3.2,4.51,93.9,83.3,76.6,205.4,74.3,250000,2000.0,43.2,moyen
P-204,Pompe HP,pompe,2018-03-15,2158.5,51805,8000,6774,850.7,1,4.64,2.039,42.0,C,3.52,3.97,93.9,81.8,71.6,190.5,82.5,250000,2000.0,45.5,moyen
P-204,Pompe HP,pompe,2018-03-15,2192.3,52615,8000,6681,42.9,1,4.343,1.909,49.0,B,3.15,4.57,93.0,82.3,75.0,206.4,79.2,250000,2000.0,47.7,moyen
P-204,Pompe HP,pompe,2018-03-15,2226.0,53424,8000,6586,1030.4,2,4.623,2.052,48.3,C,3.36,4.24,91.4,84.9,68.2,175.8,66.2,250000,2000.0,50.0,moyen
P-204,Pompe HP,pompe,2018-03-15,2259.7,54233,8000,6488,208.3,1,4.121,1.672,47.8,B,3.46,4.76,91.6,82.4,78.7,191.5,71.2,250000,2000.0,52.3,moyen
P-204,Pompe HP,pompe,2018-03-15,2293.5,55043,8000,6389,3634.6,3,6.255,2.863,47.7,C,3.22,4.53,92.6,79.3,72.5,182.5,85.5,250000,2000.0,54.5,moyen
P-204,Pompe HP,pompe,2018-03-15,2327.2,55852,8000,6287,339.0,1,5.393,2.454,46.3,C,3.34,5.22,91.6,80.1,78.1,151.6,74.9,250000,2000.0,56.8,eleve
P-204,Pompe HP,pompe,2018-03-15,2360.9,56662,8000,6183,729.1,1,4.713,1.996,49.2,C,3.9,4.59,93.8,83.3,70.2,133.1,62.5,250000,2000.0,59.1,eleve
P-204,Pompe HP,pompe,2018-03-15,2394.6,57471,8000,6077,69.2,2,4.822,2.097,52.7,C,3.72,5.17,91.6,77.9,74.9,133.0,76.7,250000,2000.0,61.4,eleve
P-204,Pompe HP,pompe,2018-03-15,2428.4,58281,8000,5969,431.5,2,5.412,2.526,51.7,C,3.61,5.58,90.9,78.7,73.8,131.1,66.7,250000,2000.0,63.6,eleve
P-204,Pompe HP,pompe,2018-03-15,2462.1,59090,8000,5860,1577.6,3,5.638,2.691,51.6,C,3.81,5.62,92.9,80.2,71.8,114.4,73.8,250000,2000.0,65.9,eleve
P-204,Pompe HP,pompe,2018-03-15,2495.8,59900,8000,5748,881.0,3,5.725,2.658,54.3,C,4.23,5.31,91.2,77.6,73.2,109.0,75.5,250000,2000.0,68.2,eleve
P-204,Pompe HP,pompe,2018-03-15,2529.5,60709,8000,5634,1150.2,3,6.007,2.673,55.2,C,3.71,5.57,91.4,79.3,72.8,112.7,70.6,250000,2000.0,70.5,eleve
P-204,Pompe HP,pompe,2018-03-15,2563.3,61519,8000,5519,4329.5,2,5.06,2.326,51.9,C,4.16,5.1,93.2,76.3,65.4,91.1,76.3,250000,2000.0,72.7,eleve
P-204,Pompe HP,pompe,2018-03-15,2597.0,62328,8000,5402,703.5,2,6.283,2.801,54.9,C,4.03,6.31,88.4,76.9,53.5,79.6,67.9,250000,2000.0,75.0,critique
P-204,Pompe HP,pompe,2018-03-15,2630.7,63137,8000,5283,966.8,2,5.282,2.448,58.6,C,4.15,5.71,91.0,74.5,65.8,97.2,71.9,250000,2000.0,77.3,critique
P-204,Pompe HP,pompe,2018-03-15,2664.5,63947,8000,5162,2655.6,3,6.029,2.634,60.5,C,4.05,5.31,89.3,73.7,50.1,74.0,61.3,250000,2000.0,79.5,critique
P-204,Pompe HP,pompe,2018-03-15,2698.2,64756,8000,5040,6380.6,3,6.434,3.014,53.0,C,4.08,5.53,90.4,75.0,58.8,60.0,59.1,250000,2000.0,81.8,critique
P-204,Pompe HP,pompe,2018-03-15,2731.9,65566,8000,4916,1329.4,3,6.933,3.239,58.9,C,3.78,5.97,92.0,75.3,54.6,59.1,69.2,250000,2000.0,84.1,critique
P-204,Pompe HP,pompe,2018-03-15,2765.6,66375,8000,4790,1740.3,3,7.318,3.293,58.3,D,4.22,6.18,88.0,76.1,51.3,50.6,73.3,250000,2000.0,86.4,critique
P-204,Pompe HP,pompe,2018-03-15,2799.4,67185,8000,4662,625.4,3,6.837,2.999,57.7,C,3.77,6.1,91.1,73.1,51.8,56.3,76.4,250000,2000.0,88.6,critique
P-204,Pompe HP,pompe,2018-03-15,2833.1,67994,8000,4533,782.3,4,6.608,3.078,63.2,C,4.09,6.23,89.5,74.1,56.4,33.3,68.1,250000,2000.0,90.9,critique
P-204,Pompe HP,pompe,2018-03-15,2866.8,68804,8000,4402,636.0,3,7.423,3.293,63.3,D,4.35,6.67,89.0,71.6,54.1,10.4,77.7,250000,2000.0,93.2,critique
P-204,Pompe HP,pompe,2018-03-15,2900.5,69613,8000,4270,1231.1,4,7.622,3.544,59.0,D,4.84,5.82,88.5,72.6,53.0,2.1,64.9,250000,2000.0,95.5,critique
P-204,Pompe HP,pompe,2018-03-15,2934.3,70423,8000,4136,830.6,4,7.398,3.384,65.2,D,4.25,6.12,87.8,70.9,44.6,4.9,67.9,250000,2000.0,97.7,critique
P-204,Pompe HP,pompe,2018-03-15,2968.0,71232,8000,4000,54.0,3,7.737,3.596,66.1,D,4.51,5.77,88.3,73.1,48.0,5.2,60.0,250000,2000.0,100.0,critique
C-118,Compresseur vis,compresseur,2019-08-22,1221.5,29316,10000,10000,1677.3,0,1.188,0.459,30.8,A,2.37,2.52,97.6,91.7,83.3,363.0,86.4,480000,3840.0,0.0,faible
C-118,Compresseur vis,compresseur,2019-08-22,1249.3,29982,10000,9983,131.0,0,1.123,0.485,32.7,A,2.71,3.27,98.5,91.6,95.3,335.9,92.4,480000,3840.0,2.3,faible
C-118,Compresseur vis,compresseur,2019-08-22,1277.0,30649,10000,9952,41.2,0,1.138,0.5,33.3,A,2.71,3.25,98.0,92.2,95.4,324.9,96.8,480000,3840.0,4.5,faible
C-118,Compresseur vis,compresseur,2019-08-22,1304.8,31315,10000,9911,529.8,0,1.314,0.732,32.1,A,2.65,3.1,97.9,91.8,91.1,329.2,91.0,480000,3840.0,6.8,faible
C-118,Compresseur vis,compresseur,2019-08-22,1332.5,31981,10000,9863,403.3,0,2.086,0.833,29.8,A,2.32,2.79,97.0,89.7,90.4,359.1,89.4,480000,3840.0,9.1,faible
C-118,Compresseur vis,compresseur,2019-08-22,1360.3,32647,10000,9808,1606.9,0,1.524,0.654,35.3,A,2.73,2.97,97.3,89.9,83.3,310.2,84.4,480000,3840.0,11.4,faible
C-118,Compresseur vis,compresseur,2019-08-22,1388.1,33314,10000,9748,1170.0,0,2.166,0.906,31.8,A,2.7,3.22,96.8,89.6,90.8,323.8,94.9,480000,3840.0,13.6,faible
C-118,Compresseur vis,compresseur,2019-08-22,1415.8,33980,10000,9683,3670.4,0,1.385,0.561,36.1,A,3.03,2.84,97.9,88.6,87.8,310.3,82.4,480000,3840.0,15.9,faible
C-118,Compresseur vis,compresseur,2019-08-22,1443.6,34646,10000,9612,532.9,0,2.48,1.039,33.2,B,2.92,3.17,95.3,89.0,90.1,293.9,86.2,480000,3840.0,18.2,faible
C-118,Compresseur vis,compresseur,2019-08-22,1471.4,35312,10000,9537,480.7,0,2.112,0.793,37.5,A,2.64,3.48,96.4,85.5,83.4,270.0,82.1,480000,3840.0,20.5,faible
C-118,Compresseur vis,compresseur,2019-08-22,1499.1,35979,10000,9458,230.1,1,1.765,0.913,34.3,A,2.8,3.32,95.9,87.5,79.5,280.4,82.1,480000,3840.0,22.7,faible
C-118,Compresseur vis,compresseur,2019-08-22,1526.9,36645,10000,9375,1166.9,1,2.553,1.059,40.6,B,2.9,3.8,96.1,87.5,87.2,283.2,93.7,480000,3840.0,25.0,faible
C-118,Compresseur vis,compresseur,2019-08-22,1554.6,37311,10000,9288,462.8,0,3.224,1.35,39.0,B,2.91,4.0,97.2,85.8,80.8,262.8,80.9,480000,3840.0,27.3,faible
C-118,Compresseur vis,compresseur,2019-08-22,1582.4,37978,10000,9197,1436.7,1,3.339,1.459,42.0,B,3.12,3.56,92.9,84.6,86.6,270.6,82.8,480000,3840.0,29.5,faible
C-118,Compresseur vis,compresseur,2019-08-22,1610.2,38644,10000,9103,1247.7,1,3.291,1.475,43.0,B,3.14,3.88,93.4,82.5,76.8,270.1,79.0,480000,3840.0,31.8,moyen
C-118,Compresseur vis,compresseur,2019-08-22,1637.9,39310,10000,9005,8.0,0,3.558,1.509,39.3,B,3.37,4.73,93.7,85.1,88.7,232.7,85.4,480000,3840.0,34.1,moyen
C-118,Compresseur vis,compresseur,2019-08-22,1665.7,39976,10000,8904,823.7,1,2.735,1.374,44.5,B,3.64,4.36,97.3,86.3,83.0,217.3,84.0,480000,3840.0,36.4,moyen
C-118,Compresseur vis,compresseur,2019-08-22,1693.4,40643,10000,8799,2309.1,1,3.842,1.82,44.1,B,3.09,3.72,94.0,85.2,87.9,222.7,77.5,480000,3840.0,38.6,moyen
C-118,Compresseur vis,compresseur,2019-08-22,1721.2,41309,10000,8692,137.6,1,3.453,1.548,45.1,B,3.85,4.24,92.7,85.3,78.2,198.0,84.9,480000,3840.0,40.9,moyen
C-118,Compresseur vis,compresseur,2019-08-22,1749.0,41975,10000,8581,594.8,2,4.021,1.783,45.1,B,3.23,4.67,93.1,84.1,69.7,208.1,79.1,480000,3840.0,43.2,moyen
C-118,Compresseur vis,compresseur,2019-08-22,1776.7,42641,10000,8468,265.3,2,4.974,2.225,46.1,C,3.31,4.5,93.0,83.7,77.0,200.9,65.5,480000,3840.0,45.5,moyen
C-118,Compresseur vis,compresseur,2019-08-22,1804.5,43308,10000,8351,606.3,1,3.966,1.885,44.2,B,3.54,4.14,93.8,82.9,71.8,199.7,77.8,480000,3840.0,47.7,moyen
C-118,Compresseur vis,compresseur,2019-08-22,1832.2,43974,10000,8232,747.3,2,3.924,1.675,46.7,B,3.73,3.95,93.0,80.3,77.6,177.3,84.4,480000,3840.0,50.0,moyen
C-118,Compresseur vis,compresseur,2019-08-22,1860.0,44640,10000,8110,628.4,2,4.657,2.068,49.8,C,3.64,4.38,95.0,81.1,63.9,180.1,79.9,480000,3840.0,52.3,moyen
C-118,Compresseur vis,compresseur,2019-08-22,1887.8,45307,10000,7986,247.6,0,4.621,2.042,50.7,C,3.47,5.12,92.7,79.2,62.4,172.0,72.7,480000,3840.0,54.5,moyen
C-118,Compresseur vis,compresseur,2019-08-22,1915.5,45973,10000,7859,560.7,1,5.205,2.512,47.9,C,3.1,4.3,93.2,80.7,57.6,128.5,88.2,480000,3840.0,56.8,eleve
C-118,Compresseur vis,compresseur,2019-08-22,1943.3,46639,10000,7729,1207.9,2,4.683,2.104,50.2,C,3.51,4.26,91.6,79.6,75.8,127.1,77.5,480000,3840.0,59.1,eleve
C-118,Compresseur vis,compresseur,2019-08-22,1971.1,47305,10000,7597,1201.9,2,5.988,2.776,53.8,C,3.86,5.02,92.8,78.4,65.7,132.1,70.1,480000,3840.0,61.4,eleve
C-118,Compresseur vis,compresseur,2019-08-22,1998.8,47972,10000,7462,986.3,2,5.605,2.487,52.6,C,3.6,5.36,91.8,81.8,71.9,153.9,69.0,480000,3840.0,63.6,eleve
C-118,Compresseur vis,compresseur,2019-08-22,2026.6,48638,10000,7325,1889.8,2,5.564,2.555,53.6,C,3.99,5.71,92.3,79.4,67.1,111.7,76.2,480000,3840.0,65.9,eleve
C-118,Compresseur vis,compresseur,2019-08-22,2054.3,49304,10000,7185,877.7,2,5.316,2.394,52.0,C,4.09,5.21,92.0,79.9,54.3,119.8,69.6,480000,3840.0,68.2,eleve
C-118,Compresseur vis,compresseur,2019-08-22,2082.1,49970,10000,7043,366.9,2,6.391,2.812,55.0,C,3.97,4.64,89.5,77.4,64.7,91.5,71.5,480000,3840.0,70.5,eleve
C-118,Compresseur vis,compresseur,2019-08-22,2109.9,50637,10000,6899,91.6,3,5.322,2.34,54.0,C,3.87,5.41,88.8,78.0,60.2,108.0,75.1,480000,3840.0,72.7,eleve
C-118,Compresseur vis,compresseur,2019-08-22,2137.6,51303,10000,6752,2947.2,3,6.552,2.944,53.1,C,3.92,4.9,91.5,77.5,65.2,105.7,72.3,480000,3840.0,75.0,critique
C-118,Compresseur vis,compresseur,2019-08-22,2165.4,51969,10000,6604,1152.1,2,6.38,2.944,57.4,C,4.31,5.51,89.7,76.7,68.8,92.6,74.4,480000,3840.0,77.3,critique
C-118,Compresseur vis,compresseur,2019-08-22,2193.1,52636,10000,6453,261.2,3,6.732,3.117,54.8,C,3.93,5.64,90.5,77.1,62.1,84.8,67.1,480000,3840.0,79.5,critique
C-118,Compresseur vis,compresseur,2019-08-22,2220.9,53302,10000,6300,227.1,3,6.286,2.892,55.5,C,3.75,6.17,89.5,78.0,62.7,82.4,69.7,480000,3840.0,81.8,critique
C-118,Compresseur vis,compresseur,2019-08-22,2248.7,53968,10000,6144,477.9,3,6.911,2.995,58.9,C,4.32,5.84,89.7,77.5,61.3,42.5,68.6,480000,3840.0,84.1,critique
C-118,Compresseur vis,compresseur,2019-08-22,2276.4,54634,10000,5987,1041.6,4,7.44,3.461,57.5,D,4.19,5.95,88.7,73.7,63.6,36.2,80.5,480000,3840.0,86.4,critique
C-118,Compresseur vis,compresseur,2019-08-22,2304.2,55301,10000,5828,623.1,4,6.648,2.989,61.4,C,4.4,6.68,87.8,77.4,57.6,35.2,67.6,480000,3840.0,88.6,critique
C-118,Compresseur vis,compresseur,2019-08-22,2332.0,55967,10000,5666,2173.7,3,7.168,3.223,65.2,D,4.42,5.14,87.6,73.8,66.0,42.1,66.4,480000,3840.0,90.9,critique
C-118,Compresseur vis,compresseur,2019-08-22,2359.7,56633,10000,5503,1128.2,4,6.798,2.96,63.0,C,4.05,6.64,87.6,71.4,53.2,9.4,60.2,480000,3840.0,93.2,critique
C-118,Compresseur vis,compresseur,2019-08-22,2387.5,57299,10000,5337,455.1,3,7.926,3.609,63.1,D,4.72,5.82,87.6,71.3,47.4,16.7,60.6,480000,3840.0,95.5,critique
C-118,Compresseur vis,compresseur,2019-08-22,2415.2,57966,10000,5169,1581.2,3,6.824,3.126,65.1,C,4.43,5.97,87.5,74.0,49.8,7.3,68.1,480000,3840.0,97.7,critique
C-118,Compresseur vis,compresseur,2019-08-22,2443.0,58632,10000,5000,886.5,3,7.79,3.433,63.9,D,4.38,6.07,88.1,70.7,54.5,-1.5,69.9,480000,3840.0,100.0,critique
V-302,Ventilateur,ventilateur,2020-01-10,1151.0,27624,15000,15000,51.1,0,1.494,0.764,27.0,A,2.1,3.14,98.5,91.8,93.8,370.3,85.1,85000,680.0,0.0,faible
V-302,Ventilateur,ventilateur,2020-01-10,1177.2,28252,15000,14974,1286.3,0,1.233,0.563,28.8,A,2.57,2.42,96.8,92.2,90.2,369.2,87.6,85000,680.0,2.3,faible
V-302,Ventilateur,ventilateur,2020-01-10,1203.3,28880,15000,14927,998.7,0,0.932,0.473,31.5,A,2.32,2.82,97.4,92.3,88.2,319.0,89.1,85000,680.0,4.5,faible
V-302,Ventilateur,ventilateur,2020-01-10,1229.5,29507,15000,14866,3.1,0,1.156,0.624,30.1,A,2.28,2.9,97.7,90.0,92.0,342.8,85.3,85000,680.0,6.8,faible
V-302,Ventilateur,ventilateur,2020-01-10,1255.6,30135,15000,14794,708.7,0,2.67,1.051,28.3,B,2.64,3.68,99.1,91.5,99.8,342.6,82.2,85000,680.0,9.1,faible
V-302,Ventilateur,ventilateur,2020-01-10,1281.8,30763,15000,14713,71.4,0,1.043,0.493,36.3,A,2.8,3.37,98.6,90.3,100,311.4,95.0,85000,680.0,11.4,faible
V-302,Ventilateur,ventilateur,2020-01-10,1308.0,31391,15000,14622,699.2,0,2.439,1.115,35.3,B,2.44,3.84,95.4,91.2,85.3,316.3,95.9,85000,680.0,13.6,faible
V-302,Ventilateur,ventilateur,2020-01-10,1334.1,32019,15000,14524,408.6,1,1.617,0.737,38.0,A,2.81,3.37,98.2,87.3,92.5,292.2,94.0,85000,680.0,15.9,faible
V-302,Ventilateur,ventilateur,2020-01-10,1360.3,32647,15000,14419,557.9,0,2.138,1.152,37.8,A,2.87,3.58,95.5,92.9,82.9,305.9,88.8,85000,680.0,18.2,faible
V-302,Ventilateur,ventilateur,2020-01-10,1386.4,33274,15000,14306,332.3,1,2.375,1.132,39.1,B,2.8,2.96,93.0,86.7,84.8,285.7,95.1,85000,680.0,20.5,faible
V-302,Ventilateur,ventilateur,2020-01-10,1412.6,33902,15000,14187,15.5,0,2.15,0.886,39.2,A,2.96,3.87,94.9,85.6,87.1,290.8,83.8,85000,680.0,22.7,faible
V-302,Ventilateur,ventilateur,2020-01-10,1438.8,34530,15000,14062,811.8,1,3.063,1.422,42.8,B,2.77,4.2,96.5,87.4,77.6,263.3,86.4,85000,680.0,25.0,faible
V-302,Ventilateur,ventilateur,2020-01-10,1464.9,35158,15000,13932,496.9,0,2.698,0.999,39.5,B,3.53,3.5,94.9,89.1,81.2,265.0,83.1,85000,680.0,27.3,faible
V-302,Ventilateur,ventilateur,2020-01-10,1491.1,35786,15000,13796,805.6,1,3.068,1.328,37.3,B,2.82,3.83,95.6,86.3,82.7,247.6,87.2,85000,680.0,29.5,faible
V-302,Ventilateur,ventilateur,2020-01-10,1517.2,36413,15000,13654,811.1,1,3.315,1.475,37.9,B,2.85,3.95,93.9,84.7,89.3,244.0,71.6,85000,680.0,31.8,moyen
V-302,Ventilateur,ventilateur,2020-01-10,1543.4,37041,15000,13507,1683.1,1,3.596,1.643,41.7,B,3.32,4.5,95.1,85.1,75.4,241.4,95.1,85000,680.0,34.1,moyen
V-302,Ventilateur,ventilateur,2020-01-10,1569.5,37669,15000,13355,388.7,1,2.996,1.351,44.7,B,3.27,4.76,93.1,84.8,81.5,231.6,68.2,85000,680.0,36.4,moyen
V-302,Ventilateur,ventilateur,2020-01-10,1595.7,38297,15000,13199,135.5,1,4.014,1.831,41.9,B,3.36,3.95,95.5,83.9,67.8,249.1,83.1,85000,680.0,38.6,moyen
V-302,Ventilateur,ventilateur,2020-01-10,1621.9,38925,15000,13038,382.6,1,3.945,1.793,42.6,B,3.46,5.34,94.3,81.0,81.5,210.8,81.9,85000,680.0,40.9,moyen
V-302,Ventilateur,ventilateur,2020-01-10,1648.0,39553,15000,12872,699.5,1,3.764,1.765,43.9,B,3.51,3.39,94.2,85.2,79.8,195.5,84.9,85000,680.0,43.2,moyen
V-302,Ventilateur,ventilateur,2020-01-10,1674.2,40180,15000,12702,150.6,1,3.742,1.644,45.2,B,3.48,4.36,93.9,81.9,74.2,209.7,76.8,85000,680.0,45.5,moyen
V-302,Ventilateur,ventilateur,2020-01-10,1700.3,40808,15000,12527,2322.4,1,4.485,1.994,48.7,B,3.56,3.45,93.9,84.1,75.2,204.7,87.6,85000,680.0,47.7,moyen
V-302,Ventilateur,ventilateur,2020-01-10,1726.5,41436,15000,12348,494.4,1,3.468,1.545,48.0,B,3.63,4.8,91.5,79.3,75.1,192.8,81.9,85000,680.0,50.0,moyen
V-302,Ventilateur,ventilateur,2020-01-10,1752.7,42064,15000,12166,552.3,1,5.295,2.493,49.0,C,3.7,4.58,92.8,82.3,70.1,164.4,78.5,85000,680.0,52.3,moyen
V-302,Ventilateur,ventilateur,2020-01-10,1778.8,42692,15000,11979,230.7,1,4.69,2.096,47.1,C,3.7,3.84,93.8,79.2,73.5,171.2,75.1,85000,680.0,54.5,moyen
V-302,Ventilateur,ventilateur,2020-01-10,1805.0,43319,15000,11788,49.7,1,4.688,2.075,50.9,C,3.64,5.6,94.1,81.2,67.9,146.0,75.5,85000,680.0,56.8,eleve
V-302,Ventilateur,ventilateur,2020-01-10,1831.1,43947,15000,11593,6.7,2,5.338,2.538,52.2,C,4.14,5.43,92.8,78.2,64.5,177.1,78.7,85000,680.0,59.1,eleve
V-302,Ventilateur,ventilateur,2020-01-10,1857.3,44575,15000,11395,1607.2,2,4.813,2.067,51.9,C,3.74,4.89,92.3,78.7,65.3,156.0,65.0,85000,680.0,61.4,eleve
V-302,Ventilateur,ventilateur,2020-01-10,1883.5,45203,15000,11193,143.9,1,4.621,2.054,55.9,C,3.67,5.51,94.0,80.9,66.3,145.7,72.3,85000,680.0,63.6,eleve
V-302,Ventilateur,ventilateur,2020-01-10,1909.6,45831,15000,10987,18.3,2,5.467,2.385,54.4,C,3.93,4.89,91.3,78.0,64.9,146.4,70.7,85000,680.0,65.9,eleve
V-302,Ventilateur,ventilateur,2020-01-10,1935.8,46459,15000,10778,382.6,2,5.006,2.244,58.5,C,3.65,4.84,92.0,80.0,54.9,121.4,76.4,85000,680.0,68.2,eleve
V-302,Ventilateur,ventilateur,2020-01-10,1961.9,47086,15000,10565,740.8,2,5.497,2.415,52.7,C,3.88,5.41,90.8,76.0,68.9,107.4,73.5,85000,680.0,70.5,eleve
V-302,Ventilateur,ventilateur,2020-01-10,1988.1,47714,15000,10348,1357.9,3,5.986,2.661,53.1,C,3.89,6.13,90.9,77.4,59.5,101.0,63.7,85000,680.0,72.7,eleve
V-302,Ventilateur,ventilateur,2020-01-10,2014.2,48342,15000,10129,639.7,2,5.521,2.504,57.5,C,3.68,6.02,90.0,73.6,62.9,95.5,75.5,85000,680.0,75.0,critique
V-302,Ventilateur,ventilateur,2020-01-10,2040.4,48970,15000,9906,1960.9,2,6.171,2.9,56.1,C,4.0,5.98,90.3,80.2,54.6,71.0,71.9,85000,680.0,77.3,critique
