machine_id,machine_nom,machine_type,atelier,usine,timestamp,date,v_rms_mm_s,acceleration_g,crest_factor,kurtosis,rpm,zone_iso,health_index,rul_days,degradation_score,mtbf_heures,mttr_heures,disponibilite_pct,oee_pct,trs_pct,cout_maintenance_euros,type_defaut,severite_defaut,temperature_c,pression_bar,courant_A,nb_alertes,nb_demarrages,duree_fonctionnement_h,age_machine_jours
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-01 02:00:00,2025-10-01,1.83,4.1,1.95,2.04,1476,A,99.0,170,0.018,420.0,2.6,99.4,96.7,94.6,2583,Aucun - Etat acceptable,Faible,29.3,4.0,32.1,0,48,9466,1112
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-01 04:00:00,2025-10-01,3.37,5.06,1.59,1.5,1461,B,93.7,175,0.082,518.0,6.2,98.8,84.3,77.6,750,Aucun - Etat acceptable,Faible,29.9,7.1,33.3,0,52,24225,1393
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-01 06:00:00,2025-10-01,0.89,1.08,2.27,1.9,1467,A,95.9,178,0.043,541.0,3.5,99.4,96.7,94.2,311,Aucun - Etat nominal,Aucune,31.0,5.0,31.0,0,61,23623,3826
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-01 06:00:00,2025-10-01,1.95,5.45,1.4,2.06,1446,A,94.7,169,0.039,447.0,4.7,99.0,80.9,74.5,1672,Aucun - Etat acceptable,Faible,29.6,5.5,32.6,1,40,20283,2212
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-01 08:00:00,2025-10-01,3.08,4.76,2.14,3.11,1453,B,93.0,152,0.065,467.0,7.8,98.4,93.0,90.3,652,Aucun - Etat acceptable,Faible,30.0,5.4,31.2,0,76,25042,3676
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-01 12:00:00,2025-10-01,2.48,5.34,1.57,2.71,1506,B,90.4,175,0.085,437.0,3.4,99.2,95.6,93.4,2843,Aucun - Etat acceptable,Faible,29.4,4.8,31.2,0,61,22634,1693
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-01 13:00:00,2025-10-01,0.52,0.76,1.54,1.83,1449,A,94.7,184,0.041,375.0,3.2,99.2,82.1,81.0,1781,Aucun - Etat nominal,Aucune,26.9,2.5,30.3,0,38,12449,3488
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-01 14:00:00,2025-10-01,3.89,12.42,1.67,2.46,8123,B,97.9,190,0.01,470.0,3.8,99.2,89.7,87.3,272,Aucun - Etat acceptable,Faible,30.0,4.8,166.5,0,69,24309,1960
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-01 18:00:00,2025-10-01,1.71,3.79,1.63,1.72,1482,A,97.1,159,0.025,478.0,5.3,98.9,93.2,90.2,2670,Aucun - Etat acceptable,Faible,30.3,5.3,30.8,0,59,13968,2079
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-01 18:00:00,2025-10-01,3.14,9.26,1.9,2.93,1442,B,96.9,173,0.045,432.0,7.4,98.3,93.0,91.7,1593,Aucun - Etat acceptable,Faible,31.8,6.7,32.0,0,24,14972,2991
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-01 21:00:00,2025-10-01,1.18,1.58,1.94,2.01,1503,A,92.7,158,0.087,400.0,6.1,98.5,86.8,80.4,619,Aucun - Etat nominal,Aucune,28.7,6.0,32.0,1,20,22077,3710
