machine_id,date,health_index,rul_days,rul_confidence_pct,vrms_mm_s,temperature_c,score_degradation,crest_factor,kurtosis
M001,2026-01-01,66.8,98,75,3.99,45.9,0.35,3.49,3.91
M001,2026-01-03,66.0,89,65,4.05,45.2,0.292,3.24,4.29
M001,2026-01-05,65.1,94,88,4.34,46.7,0.3,3.52,4.36
M001,2026-01-07,64.5,90,73,4.62,45.0,0.315,3.26,4.49
M001,2026-01-09,63.5,86,89,4.44,47.8,0.353,3.48,4.52
M001,2026-01-11,62.5,94,72,4.62,44.4,0.348,3.42,4.12
M001,2026-01-13,62.0,85,84,4.41,46.9,0.367,3.47,4.23
M001,2026-01-15,61.4,102,64,4.65,45.3,0.409,3.41,4.36
M001,2026-01-17,59.9,99,95,4.54,46.3,0.427,3.42,4.7
M001,2026-01-19,58.7,90,77,4.54,49.0,0.42,3.74,4.39
M001,2026-01-21,57.8,96,89,4.66,46.2,0.446,3.7,4.76
M001,2026-01-23,57.1,93,85,4.85,49.9,0.393,3.71,4.8
M001,2026-01-25,55.8,77,70,5.21,48.0,0.399,3.72,5.01
M001,2026-01-27,54.9,89,60,5.22,47.0,0.49,3.91,4.92
M001,2026-01-29,54.2,80,87,4.96,46.7,0.48,3.92,5.07
M001,2026-01-31,53.1,85,66,5.48,48.3,0.483,3.92,4.64
M001,2026-02-02,51.9,84,93,5.6,49.8,0.48,3.77,4.82
M001,2026-02-04,50.4,74,75,5.2,51.4,0.541,3.82,4.97
M001,2026-02-06,50.1,82,68,5.27,49.9,0.504,3.9,5.22
M001,2026-02-08,49.3,70,94,5.71,51.0,0.528,3.99,5.14
M001,2026-02-10,48.7,78,88,5.38,49.3,0.497,4.09,4.91
M001,2026-02-12,48.2,64,63,5.48,52.2,0.554,3.9,4.93
M001,2026-02-14,47.1,66,94,5.51,52.6,0.536,4.11,5.32
M001,2026-02-16,45.8,64,66,5.59,51.0,0.534,4.15,5.35
M001,2026-02-18,44.8,77,66,5.65,52.5,0.582,4.05,5.08
M001,2026-02-20,43.9,59,87,5.8,51.7,0.599,4.08,5.49
M001,2026-02-22,42.6,56,63,6.19,52.4,0.526,4.13,5.52
M001,2026-02-24,42.1,66,91,6.12,53.8,0.62,4.18,5.1
M001,2026-02-26,41.3,66,78,6.15,54.4,0.636,4.37,5.56
M001,2026-02-28,40.9,60,73,6.51,53.0,0.595,4.46,5.19
M001,2026-03-02,40.0,65,93,6.1,54.8,0.558,4.27,5.56
M001,2026-03-04,38.9,55,85,6.16,54.9,0.586,4.48,5.63
M001,2026-03-06,38.2,65,93,6.34,52.6,0.635,4.4,5.45
M001,2026-03-08,37.8,66,79,6.45,55.4,0.666,4.29,5.68
M001,2026-03-10,36.9,48,64,6.57,54.0,0.595,4.47,5.4
M001,2026-03-12,36.3,53,70,6.56,54.3,0.617,4.74,5.87
M001,2026-03-14,35.5,60,79,6.92,52.8,0.683,4.49,5.96
M001,2026-03-16,34.3,45,77,6.63,53.6,0.641,4.7,6.0
M001,2026-03-18,33.4,48,63,6.58,54.7,0.643,4.46,5.99
M001,2026-03-20,32.4,46,70,7.05,55.5,0.669,4.51,5.62
M001,2026-03-22,31.1,40,94,6.74,55.2,0.695,4.73,5.67
M001,2026-03-24,30.4,36,82,6.9,54.9,0.656,4.9,6.21
M001,2026-03-26,29.7,53,69,7.38,55.1,0.67,4.93,5.82
M001,2026-03-28,28.9,38,81,7.36,56.0,0.728,4.94,5.9
M001,2026-03-30,28.5,35,84,7.44,57.9,0.687,4.99,6.05
M002,2026-01-01,77.7,113,74,3.0,40.5,0.205,3.04,3.89
M002,2026-01-03,77.2,125,92,3.27,43.8,0.232,3.09,3.41
M002,2026-01-05,75.7,108,76,3.17,42.7,0.227,3.09,3.68
M002,2026-01-07,74.2,104,84,3.8,41.5,0.212,3.01,3.8
M002,2026-01-09,73.0,105,83,3.62,44.9,0.312,3.13,3.95
M002,2026-01-11,72.6,107,92,3.58,42.8,0.264,3.01,3.65
M002,2026-01-13,71.9,109,71,3.82,42.6,0.286,2.93,3.78
M002,2026-01-15,71.1,114,80,3.79,43.4,0.26,3.14,4.19
M002,2026-01-17,69.9,99,65,3.78,44.7,0.313,3.04,4.28
M002,2026-01-19,69.4,103,74,4.13,42.8,0.261,3.42,4.1
M002,2026-01-21,68.2,106,86,4.28,44.9,0.34,3.23,4.03
M002,2026-01-23,67.8,91,66,4.24,43.5,0.353,3.37,4.09
M002,2026-01-25,66.9,93,89,3.93,44.8,0.335,3.35,4.05
M002,2026-01-27,65.7,102,92,4.2,46.9,0.338,3.24,4.43
M002,2026-01-29,64.9,94,77,4.47,45.6,0.364,3.31,4.0
M002,2026-01-31,64.3,94,81,4.25,45.9,0.321,3.32,4.4
M002,2026-02-02,63.2,86,86,4.39,46.2,0.36,3.35,4.29
M002,2026-02-04,61.8,100,61,4.77,47.5,0.37,3.33,4.32
M002,2026-02-06,60.6,93,94,4.8,47.0,0.404,3.46,4.3
M002,2026-02-08,59.9,79,84,4.61,47.8,0.392,3.47,4.49
M002,2026-02-10,59.5,98,94,4.46,46.7,0.411,3.43,4.61
M002,2026-02-12,59.1,92,71,4.5,46.8,0.38,3.57,4.7
M002,2026-02-14,58.4,90,76,5.03,47.3,0.44,3.48,4.85
M002,2026-02-16,58.0,78,62,5.02,49.4,0.39,3.49,4.39
M002,2026-02-18,57.6,79,73,4.87,46.7,0.411,3.74,4.9
M002,2026-02-20,56.5,79,79,4.75,46.2,0.417,3.81,4.95
M002,2026-02-22,55.7,79,64,5.1,49.6,0.417,3.85,4.59
M002,2026-02-24,54.6,74,62,5.04,48.3,0.441,3.82,4.67
M002,2026-02-26,53.3,85,66,5.19,48.4,0.506,3.85,4.62
M002,2026-02-28,52.9,85,77,5.34,50.8,0.498,3.87,5.05
M002,2026-03-02,51.9,77,75,5.54,47.8,0.519,3.82,4.88
M002,2026-03-04,51.0,78,81,5.14,51.1,0.459,3.85,5.13
M002,2026-03-06,50.3,84,77,5.51,50.0,0.466,3.88,4.93
M002,2026-03-08,49.4,71,90,5.64,50.1,0.535,3.86,4.86
M002,2026-03-10,48.3,71,83,5.62,50.6,0.51,4.17,4.98
M002,2026-03-12,47.2,68,79,5.58,49.3,0.498,3.96,5.16
M002,2026-03-14,46.0,63,72,5.65,51.1,0.563,4.35,5.22
M002,2026-03-16,45.4,61,72,5.74,50.8,0.526,4.27,5.01
M002,2026-03-18,45.2,58,95,5.76,53.2,0.562,4.29,5.0
M002,2026-03-20,44.9,66,90,5.89,50.9,0.597,4.1,5.47
M002,2026-03-22,44.6,58,85,5.93,51.9,0.573,4.08,5.46
M002,2026-03-24,43.2,56,75,5.82,53.1,0.579,4.39,5.18
M002,2026-03-26,42.3,67,88,6.0,52.7,0.57,4.34,5.12
M002,2026-03-28,40.8,54,73,6.31,51.8,0.55,4.26,5.49
M002,2026-03-30,40.4,63,88,6.38,52.8,0.549,4.3,5.35
M003,2026-01-01,88.7,130,76,2.58,38.9,0.129,2.63,3.02
M003,2026-01-03,87.8,141,69,2.72,40.0,0.079,2.35,2.99
M003,2026-01-05,86.6,137,78,2.53,38.9,0.114,2.5,3.03
M003,2026-01-07,85.7,132,65,2.7,40.8,0.166,2.61,2.93
M003,2026-01-09,85.2,135,61,2.98,40.1,0.125,2.41,3.39
M003,2026-01-11,84.4,136,88,3.0,38.4,0.164,2.68,3.27
M003,2026-01-13,84.1,127,86,2.67,40.5,0.195,2.57,3.41
M003,2026-01-15,83.5,127,95,2.54,38.3,0.14,2.51,3.49
M003,2026-01-17,82.2,113,94,2.9,38.6,0.18,2.76,3.39
M003,2026-01-19,81.4,113,73,2.85,39.1,0.165,2.9,3.42
M003,2026-01-21,81.2,131,75,3.13,39.9,0.14,2.72,3.28
M003,2026-01-23,79.9,112,89,3.38,41.6,0.166,2.98,3.38
M003,2026-01-25,78.8,121,90,3.49,40.3,0.217,2.8,3.81
M003,2026-01-27,77.9,110,64,3.13,42.8,0.212,3.06,3.61
M003,2026-01-29,76.6,113,79,3.57,42.3,0.25,3.08,3.64
M003,2026-01-31,75.8,113,95,3.59,41.8,0.285,3.12,4.0
M003,2026-02-02,75.3,114,74,3.69,42.1,0.229,2.98,3.98
M003,2026-02-04,74.6,121,69,3.53,40.8,0.254,3.05,3.99
M003,2026-02-06,73.3,113,66,3.65,42.8,0.29,3.03,3.93
M003,2026-02-08,72.9,114,76,3.57,43.9,0.286,3.23,4.07
M003,2026-02-10,71.6,109,80,3.85,45.1,0.283,3.15,3.99
M003,2026-02-12,71.1,105,74,3.96,43.4,0.249,3.21,4.17
M003,2026-02-14,70.3,104,61,3.61,45.1,0.277,3.14,3.77
M003,2026-02-16,69.4,112,71,3.75,42.5,0.343,3.27,3.88
M003,2026-02-18,68.0,95,74,4.04,43.6,0.296,3.08,4.28
M003,2026-02-20,66.6,106,70,3.91,46.8,0.383,3.25,4.45
M003,2026-02-22,65.5,102,79,4.08,44.9,0.343,3.27,4.27
M003,2026-02-24,64.6,95,61,4.62,46.3,0.332,3.44,4.38
M003,2026-02-26,63.4,86,91,4.63,47.6,0.393,3.36,4.51
M003,2026-02-28,62.9,90,76,4.57,47.0,0.387,3.62,4.43
M003,2026-03-02,61.6,102,62,4.46,46.3,0.392,3.63,4.18
M003,2026-03-04,61.0,94,71,4.44,47.9,0.428,3.51,4.45
M003,2026-03-06,60.4,85,76,4.92,48.7,0.443,3.5,4.7
M003,2026-03-08,59.2,92,64,4.55,49.1,0.444,3.72,4.83
M003,2026-03-10,57.7,93,83,4.64,47.3,0.399,3.54,4.54
M003,2026-03-12,56.5,82,84,5.17,49.8,0.395,3.63,4.39
M003,2026-03-14,55.2,89,80,5.33,47.3,0.404,3.92,4.99
M003,2026-03-16,54.6,84,67,4.92,50.4,0.434,3.81,4.53
